area_code,time_zone,state,region,utc_offset_std,utc_offset_ds
774,EST,Massachusetts,Overlay of 508 area code.,-5,-4
775*,PST,Nevada,"Reno, Carson City *(Area Code crosses into MST time zone)",-8,-7
779,CST,Illinois,Overlay of 815 area code.,-6,-5
781,EST,Massachusetts,"Waltham, Lexington, Burlinton, Dedham, Woburn, Lynn, Malden, Saugus, Reading, Braintree, Wellesley",-5,-4
785*,CST,Kansas,"Topeka, Lawrence, Manhattan, Salina, Junction *(Area Code crosses into MST time zone)",-6,-5
786,EST,Florida,Overlay of 305 area code (Miami).,-5,-4
800,,,Toll Free,,
801,MST,Utah,"Utah: Salt Lake City, Provo, Ogden, Orem, American Fork, Spanish Fork, Bountiful, Kaysville, Morgan",-7,-6
802,EST,Vermont,Vermont: All regions,-5,-4
803,EST,South Carolina,Columbia,-5,-4
804,EST,Virginia,"Richmond, Lynchburg, Petersburg,",-5,-4
805,PST,California,"Santa Barbara, Thousand Oaks, San Luis Obispo, Ventura, Oxnard, Simi Valley",-8,-7
806,CST,Texas,"Amarillo, Lubbock",-6,-5
808,HAST,Hawaii,Hawaii: All regions,-10,-9
809,AST,,Dominican Republic,-4,-4
810,EST,Michigan,"Flint, Port Huron, Lapeer, Brighton, Sandusky",-5,-4
812*,EST,Indiana,"Evansville, Bloomington, Terre Haute, New Albany *(Area Code crosses into CST time zone)",-5,-4
813,EST,Florida,Tampa,-5,-4
814,EST,Pennsylvania,"Altoona, Johnstown, Erie, Punxsutawney",-5,-4
815,CST,Illinois,"La Salle, Joliet, Rockford, DeKalb",-6,-5
816,CST,Missouri,"Kansas City, Saint Joseph, Independence, Gladstone",-6,-5
817,CST,Texas,"Fort Worth, Arlington, Euless, Grapevine",-6,-5
818,PST,California,"Van Nuys, Canoga Park, Burbank, San Fernando, Glendale, N. Hollywood",-8,-7
828,EST,North Carolina,"Asheville, Hickory, Morganton, Hendersonville, Lenoir, Boone, Andrews, Murphy, Marble",-5,-4
830,CST,Texas,"New Braunfels, Del Rio, Seguin, Kerrville, Eagle Pass, Fredericksburg",-6,-5
831,PST,California,"Monterey, Santa Cruz, Salinas, Hollister, Aptos, Carmel",-8,-7
832,CST,Texas,"Overlay of 713, 281 and 346 area codes (Houston).",-6,-5
833,,,Toll Free,,
843,EST,South Carolina,"Charleston, Florence, Myrtle Beach, Hilton Head",-5,-4
844,,,Toll Free,,
845,EST,New York,"Poughkeepsie, Spring Valley, Newburgh, Kingston, Nyack, Middletown, Brewster, Pearl River",-5,-4
847,CST,Illinois,"Northbrook, Skokie, Evanston, Glenview, Waukegan, Desplaines, Elk Grove (North suburbs of Chicago)",-6,-5
848,EST,New Jersey,Overlay of 732 area code.,-5,-4
850*,CST,Florida,"Tallahassee, Pensacola, Fort Walton Beach, Panama City *(Area Code crosses into EST time zone)",-6,-5
854,EST,South Carolina,Overlay of the 843 area code.,-5,-4
855,,,Toll Free,,
856,EST,New Jersey,"Camden, Haddonfield, Moorestown, Merchantville, Vineland, Laurel Springs",-5,-4
857,EST,Massachusetts,Overlay of 617 area code.,-5,-4
858,PST,California,"La Jolla, Rancho Bernardo, del Mar, Poway, Rancho Penasquitos, Rancho Santa Fe",-8,-7
859,EST,Kentucky,"Lexington, Covington, Boone, Winchester, Richmond, Danville, Mount Sterling",-5,-4
860,EST,Connecticut,"Hartford, New London, Norwich, Middletown, Bristol",-5,-4
862,EST,New Jersey,Overlay of 973 area code.,-5,-4
863,EST,Florida,"Lakeland, Winter Haven, Lake Wales, Sebring, Haines City, Bartow, Avon Park, Okeechobee, Wachula",-5,-4
864,EST,South Carolina,"Greenville, Spartanburg, Anderson",-5,-4
865,EST,Tennessee,"Knoxville, Maryville, Oak Ridge, Sevierville, Gatlinburg, Concord, Powell",-5,-4
866,,,Toll Free,,
870,CST,Arkansas,"Texarkana, Jonesboro, Pine Bluff, El Dorado",-6,-5
872,CST,Illinois,Overlay of 312 and 773 area codes.,-6,-5
877,,,Toll Free,,
878,EST,Pennsylvania,"Overlay of 412, 724 area codes.",-5,-4
880,,,Carribean to U.S. or Canada OR Canada to U.S. Toll Free,,
881,,,Carribean to U.S. or Canada OR Canada to U.S. Toll Free,,
888,,,Toll Free,,
900,,,Used for Mass Calling Value Added Information,,
901,CST,Tennessee,"Memphis, Collierville",-6,-5
903,CST,Texas,"Longview, Tyler, Texarkana, Paris, Kilgore, Sherman, Denison",-6,-5
904,EST,Florida,"Jacksonville, Saint Augustine, Orange Park, Fernandina Beach",-5,-4
906*,EST,Michigan,"Marquette, Iron Mountain, Houghton, Sault Ste Marie *(Area Code crosses into CST time zone)",-5,-4
907*,AKST,Alaska,Alaska: All regions *(Area Code crosses into HAST time zone),-9,-8
908,EST,New Jersey,"Elizabeth, New Brunswick, Somerville, Freehold, Unionville, Plainfield",-5,-4
909,PST,California,"San Bernardino, Ontario, Upland, Pomona, Riverside, Colton, Chino",-8,-7
910,EST,North Carolina,"Fayetteville, Wilmington, Jacksonville, Lumberton, Laurinburg, Southern Pines",-5,-4
912,EST,Georgia,"Savannah, Macon, Waycross, Brunswick, Statesboro, Vidalia",-5,-4
913,CST,Kansas,"Melrose, Kansas City",-6,-5
914,EST,New York,"Westchester, Monroe, Mount Vernon, Mount Kisco, Pleasantville",-5,-4
