area_code,time_zone,state,region,utc_offset_std,utc_offset_ds
573,CST,Missouri,"Columbia, Cape Girardeau, Jefferson City",-6,-5
574*,EST,Indiana,"South Bend, Elkhart, Mishawaka, Granger, La Porte *(Area Code crosses into CST time zone)",-5,-4
575,MST,New Mexico,"Split of 505 area code. Alamogordo, Carlsbad, Clovis, Deming, El Rito, Galina, Hatch, Hobbs, Las Cruces, Penasco, Raton, Taos",-7,-6
580,CST,Oklahoma,"Lawton, Enid, Ponca City, Ardmore, Duncan",-6,-5
585,EST,New York,"Rochester, East Rochester, Olean, Batavia, Webster, Fairport, Henrietta",-5,-4
586,EST,Michigan,"Warren, Mount Clemens, Roseville, Center Line, Utica, Romeo, Richmond, Washington, New Baltimore",-5,-4
588,,,Used for Personal Communications Services,,
601,CST,Mississippi,"Southern Mississippi: Jackson, Hattiesburg, Vicksburg, Meridian",-6,-5
602,MST,Arizona,Phoenix,-7,-7
603,EST,New Hampshire,New Hampshire: All regions,-5,-4
605*,CST,South Dakota,South Dakota: All regions *(Area Code crosses into MST time zone),-6,-5
